,Date,weather.station,Station,lat,long,tract,Parking.plain,Parking,WalkScore,TransScore,TransRoutes,NumBikeshare,post,DoW,origin.tract,destination.tract,origin,destination,treatment,dest.long,dest.lat,distance,Vehicles,school.population,K12,College,event,Precip,Travel.Time.per.Mile..Minutes.Mile.,Mon,Wed,Thur,Fri,Sat,Sun,month,June,Aug,Sept
20,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,17,30.0,17.0,1,-84.3671952,33.7659024,0.962447662,480,625,329,244,0,0,4.467775412,0,0,0,0,0,0,6,1,0,0
21,6/25/19,DEKALB-PEACHTREE AIRPORT,Arts Center   ,33.78885,-84.386841,4.0,limited,1,87,9.2,39,7,0,Tuesday,4,1201,4.0,12.01,1,-84.380305,33.7763742,0.941221768,1655,347,169,178,0,0,5.205999444,0,0,0,0,0,0,6,1,0,0
22,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,207,204.0,207.0,1,-84.3249841,33.7538959,1.090959477,2305,677,468,128,0,0,4.842831878,0,0,0,0,0,0,6,1,0,0
23,6/25/19,DEKALB-PEACHTREE AIRPORT,Medical Center  ,33.9105547,-84.3516887,101.15,free,1,31,8.1,11,0,0,Tuesday,10115,10113,101.15,101.13,0,-84.3680404,33.9051743,1.009790266,1260,476,311,99,0,0,1.716528067,0,0,0,0,0,0,6,1,0,0
24,6/25/19,DEKALB-PEACHTREE AIRPORT,Decatur ,33.7746118,-84.29751,225.0,none,0,95,8.6,8,0,0,Tuesday,225,226,225.0,226.0,0,-84.2921187,33.7815141,0.569234159,1810,2264,1544,434,0,0,3.952679168,0,0,0,0,0,0,6,1,0,0
25,6/25/19,DEKALB-PEACHTREE AIRPORT,Arts Center   ,33.78885,-84.386841,4.0,limited,1,87,9.2,39,7,0,Tuesday,4,1001,4.0,10.01,1,-84.3902405,33.7828223,0.460471442,1655,347,169,178,0,0,12.66817614,0,0,0,0,0,0,6,1,0,0
26,6/25/19,DEKALB-PEACHTREE AIRPORT,Decatur ,33.7746118,-84.29751,225.0,none,0,95,8.6,8,0,0,Tuesday,225,227,225.0,227.0,0,-84.3039234,33.7604658,1.04567652,1810,2264,1544,434,0,0,2.757385556,0,0,0,0,0,0,6,1,0,0
27,6/25/19,DEKALB-PEACHTREE AIRPORT,Dunwoody  ,33.920888,-84.34428,212.15,free,1,50,7.6,8,0,0,Tuesday,21215,10110,212.15,101.1,0,-84.3632094,33.9205399,1.086787487,2480,1382,1001,122,0,0,3.542550909,0,0,0,0,0,0,6,1,0,0
28,6/25/19,DEKALB-PEACHTREE AIRPORT,Arts Center   ,33.78885,-84.386841,4.0,limited,1,87,9.2,39,7,0,Tuesday,4,1202,4.0,12.02,1,-84.3851557,33.776784,0.84021886,1655,347,169,178,0,0,6.545913523,0,0,0,0,0,0,6,1,0,0
29,6/25/19,DEKALB-PEACHTREE AIRPORT,East Lake ,33.764698,-84.312939,208.01,free,1,57,8.4,5,1,0,Tuesday,20801,225,208.01,225.0,1,-84.3054078,33.7759433,0.890263167,955,505,351,98,0,0,7.769238273,0,0,0,0,0,0,6,1,0,0
30,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,16,204.0,16.0,1,-84.3557938,33.7676383,0.926009204,2305,677,468,128,0,0,2.591766896,0,0,0,0,0,0,6,1,0,0
31,6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30.0,free,1,78,9.0,13,5,0,Tuesday,30,206,30.0,206.0,1,-84.3356822,33.7576172,1.03156918,480,625,329,244,0,0,5.218586825,0,0,0,0,0,0,6,1,0,0
32,6/25/19,DEKALB-PEACHTREE AIRPORT,Arts Center   ,33.78885,-84.386841,4.0,limited,1,87,9.2,39,7,0,Tuesday,4,5,4.0,5.0,1,-84.3854516,33.7961417,0.510656689,1655,347,169,178,0,0,5.352584997,0,0,0,0,0,0,6,1,0,0
33,6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9.0,7,0,0,Tuesday,23111,23115,231.11,231.15,0,-84.2414147,33.7738177,0.81384035,730,559,449,93,0,0,4.546346219,0,0,0,0,0,0,6,1,0,0
34,6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204.0,free,1,70,9.1,10,2,0,Tuesday,204,31,204.0,31.0,1,-84.3530446,33.7520808,0.991945806,2305,677,468,128,0,0,3.259586677,0,0,0,0,0,0,6,1,0,0
