Date,weather.station,Station,lat,long,tract,Parking.plain,Parking,WalkScore,TransScore,TransRoutes,NumBikeshare,post,DoW,origin.tract,destination.tract,origin,destination,treatment,dest.long,dest.lat,distance,Vehicles,school.population,K12,College,event,Travel.Time.per.Mile..Minutes.Mile.,Mon,Wed,Thur,Fri,Sat,Sun,month,June,Aug,Sept,Precip,dayofweek,festival
6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,1201,12.02,12.01,1,-84.380305,33.7763742,0.482302433,2395,748,69,664,0,4.008549823,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,West Lake,33.75287,-84.4445275,40,free,1,33,9.1,7,0,0,Tuesday,40,8302,40,83.02,1,-84.452286,33.7573898,0.54481956,680,496,362,115,0,5.078133881,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,King Memorial,33.7502611,-84.3758206,119,none,0,91,9.7,54,11,0,Tuesday,119,35,119,35,1,-84.3916061,33.7508367,0.908743598,1040,1134,107,1026,0,1.558928909,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,119,26,119,1,-84.382691,33.7539369,0.881751218,615,556,333,164,0,6.615622655,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,37,26,37,1,-84.4101331,33.7489884,0.87277905,615,556,333,164,0,6.588150802,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Civic Center   ,33.766305,-84.387209,19,none,0,86,9.7,74,6,0,Tuesday,19,28,19,28,1,-84.379399,33.758087,0.724454321,1055,3135,97,3038,0,2.668675274,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Five Points,33.753826,-84.391571,35,none,0,96,9.8,56,4,0,Tuesday,35,21,35,21,1,-84.3947712,33.7655324,0.830389688,460,374,9,365,0,5.379000643,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,North Avenue   ,33.771747,-84.38658,12.02,none,0,81,9.6,52,7,0,Tuesday,1202,18,12.02,18,1,-84.3780718,33.7663445,0.615621709,2395,748,69,664,0,7.688704391,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,King Memorial,33.7502611,-84.3758206,119,none,0,91,9.7,54,11,0,Tuesday,119,29,119,29,1,-84.3693491,33.7580053,0.652274411,1040,1134,107,1026,0,5.749114077,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,25,26,25,1,-84.4126613,33.7590745,0.878335539,615,556,333,164,0,3.055020792,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Civic Center   ,33.766305,-84.387209,19,none,0,86,9.7,74,6,0,Tuesday,19,35,19,35,1,-84.3916061,33.7508367,1.09942774,1055,3135,97,3038,0,3.244111949,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,43,26,43,1,-84.4091076,33.745362,0.998848525,615,556,333,164,0,3.387233649,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,Vine City,33.7564788,-84.4035248,26,limited,1,60,9.6,57,0,0,Tuesday,26,118,26,118,1,-84.4088781,33.7709168,1.045054327,615,556,333,164,0,2.535753339,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,FULTON CO-BROWN FLD ARPT,GWCC/Mercedes-Benz Stadium,33.756293,-84.397759,26,none,0,73,9.6,57,0,0,Tuesday,26,21,26,21,1,-84.3947712,33.7655324,0.661788742,615,556,333,164,0,5.641276583,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
